Schema Element,TotalCount
http://bio2rdf.org/pharmgkb_vocabulary:disease-disease-Association,31
http://bio2rdf.org/pharmgkb_vocabulary:disease-gene-Association,38
http://bio2rdf.org/pharmgkb_vocabulary:disease-haplotype-Association,37
http://bio2rdf.org/pharmgkb_vocabulary:disease-variantlocation-Association,41
http://bio2rdf.org/pharmgkb_vocabulary:drug,57
http://bio2rdf.org/pharmgkb_vocabulary:drug-drug-Association,31
http://bio2rdf.org/pharmgkb_vocabulary:drug-gene-Association,38
http://bio2rdf.org/pharmgkb_vocabulary:drug-haplotype-Association,37
http://bio2rdf.org/pharmgkb_vocabulary:drug-variantlocation-Association,41
http://bio2rdf.org/pharmgkb_vocabulary:gene,43
http://bio2rdf.org/pharmgkb_vocabulary:gene-disease-Association,38
http://bio2rdf.org/pharmgkb_vocabulary:gene-drug-Association,38
http://bio2rdf.org/pharmgkb_vocabulary:gene-gene-Association,31
http://bio2rdf.org/pharmgkb_vocabulary:haplotype-disease-Association,37
http://bio2rdf.org/pharmgkb_vocabulary:haplotype-drug-Association,37
http://bio2rdf.org/pharmgkb_vocabulary:variantlocation,49
http://bio2rdf.org/pharmgkb_vocabulary:variantlocation-disease-Association,41
http://bio2rdf.org/pharmgkb_vocabulary:variantlocation-drug-Association,41
http://bio2rdf.org/sgd_vocabulary:AlanineCount,31
http://bio2rdf.org/sgd_vocabulary:ArginineCount,32
http://bio2rdf.org/sgd_vocabulary:AromaticityScore,31
http://bio2rdf.org/sgd_vocabulary:AsparagineCount,31
http://bio2rdf.org/sgd_vocabulary:AspartateCount,31
http://bio2rdf.org/sgd_vocabulary:Chromosome,65
http://bio2rdf.org/sgd_vocabulary:CodonAdaptationIndex,31
http://bio2rdf.org/sgd_vocabulary:CodonBias,31
http://bio2rdf.org/sgd_vocabulary:Complex,33
http://bio2rdf.org/sgd_vocabulary:CrickStrand,67
http://bio2rdf.org/sgd_vocabulary:CysteinCount,31
http://bio2rdf.org/sgd_vocabulary:Domain-Alignment,70
http://bio2rdf.org/sgd_vocabulary:Enzyme,48
http://bio2rdf.org/sgd_vocabulary:FrequencyOfOptimalCodons,32
http://bio2rdf.org/sgd_vocabulary:GRAVYScore,31
http://bio2rdf.org/sgd_vocabulary:GlutamateCount,31
http://bio2rdf.org/sgd_vocabulary:GlutamineCount,31
http://bio2rdf.org/sgd_vocabulary:GlycineCount,31
http://bio2rdf.org/sgd_vocabulary:HistineCount,31
http://bio2rdf.org/sgd_vocabulary:IsolectricPoint,31
http://bio2rdf.org/sgd_vocabulary:IsoleucineCount,31
http://bio2rdf.org/sgd_vocabulary:LeucineCount,31
http://bio2rdf.org/sgd_vocabulary:Location,75
