Schema Element,kind
http://bio2rdf.org/clinicaltrials_vocabulary:category,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:clinical-result,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:clinicaltrials_vocabulary:other-outcome,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:clinicaltrials_vocabulary:primary-outcome,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:clinicaltrials_vocabulary:secondary-outcome,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:collaborator,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:condition,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:condition-browse,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:condition-mesh,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:contact,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:contact-backup,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:count,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:country,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:eligibility,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:exclusion-criteria,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:group,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:group-id,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:inclusion-criteria,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:intervention,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:intervention-browse,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:investigator,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:lead-sponsor,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:link,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:location,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:measure,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:measurement,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:milestone,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:organization,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:other-events,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:outcome,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:overall-contact,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:overall-contact-backup,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:overall-official,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:overall-status,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:oversight,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:participant-counts,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:participant-flow,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:period,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:phase,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:reference,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:reported-events,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:responsible-party,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:serious-events,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:source,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:study-design,predicate
http://bio2rdf.org/clinicaltrials_vocabulary:study-type,predicate
